ID            InChIKey                                        Group          1B1         1B3           2B1
1   ACYGHNNXSSYSJV-UHFFFAOYSA-N    L6    -9.7    -8.3    -7.2
2   UVDJCMKKFZWLPW-UHFFFAOYSA-N    L6    -9.6    -8.5    -7.8
3   FYUUHSABTUNTET-UHFFFAOYSA-N    L6    -9.6    -8.6    -7.3
4   ASLLQSGMEYZPAP-UHFFFAOYSA-N    L6    -9.6    -8.8    -7.8
5   JAADGCNRRNIBEX-UHFFFAOYSA-N    L2    -9.5    -7.9    -6.9
6   LIRJXXNACOAWNR-UHFFFAOYSA-N    L6    -9.5    -9.5    -8.2
7   CVXSCHJOJGBPAZ-UHFFFAOYSA-N    L6    -9.25   -8.65   -7.7
8   KJQHCRZIRTZCKP-UHFFFAOYSA-N    L6    -9.2    -7.7    -7.2
9   CQKPHKQOVZZOGR-UHFFFAOYSA-N    L6    -9.2    -8.25   -7.1
10  RPQZQKIWSPLTPO-UHFFFAOYSA-N    L6    -9.1    -7.7    -6.6
11  RGHNYOWRPSUSBI-UHFFFAOYSA-N    L2    -9.1    -8.1    -7.3
12  YFCSBGKVYQDUOD-UHFFFAOYSA-N    L6    -9.1    -8.1    -7.4
13  DUPDCPDVSSYCDR-UHFFFAOYSA-N    L6    -9.1    -8.7    -8.5
14  ZZTAEHWHAKRXJL-UHFFFAOYSA-N    L6    -9.1    -9.3    -7.5
15  UZLHHAKFFPLYKS-UHFFFAOYSA-N    L6    -9.0    -7.8    -8.3
