ID            InChIKey                                        Group          1B1         1B3           2B1
1   CJDVVSPVLWQFME-UHFFFAOYSA-N    L4    -7.0    -5.8    -7.8
2   IQVYNHKDDMOEQL-UHFFFAOYSA-N    L8    -7.5    -7.7    -7.8
3   KHXILQTWNCIXFU-UHFFFAOYSA-N    L4    -7.6    -7.6    -8.0
4   YXFIRCJCYXQNDX-UHFFFAOYSA-N    L4    -7.8    -6.9    -7.9
5   JAIMDCXKLMUECP-UHFFFAOYSA-N    L4    -8.1    -7.9    -7.9
6   MOAJPIHKTNZQRY-UHFFFAOYSA-N    L8    -8.2    -7.4    -8.1
7   KWJPWLKIEWPVES-UHFFFAOYSA-N    L8    -8.2    -7.7    -8.0
8   FJOQXHWRFCELRJ-UHFFFAOYSA-N    L4    -8.2    -7.9    -7.8
9   MBYCVSKUVBLZPN-UHFFFAOYSA-N    L4    -8.2    -8.1    -8.4
10  DYZNNEVLMFDZJK-UHFFFAOYSA-N    U4    -8.4    -7.5    -8.0
11  JINQIDKLFORJPN-UHFFFAOYSA-N    L8    -8.6    -8.4    -8.2
12  PEKYVRQFLPTKKN-UHFFFAOYSA-N    L8    -8.7    -8.0    -7.9
13  IUNIUZZGPFECNN-OUKQBFOZSA-N    L4    -8.7    -8.5    -7.9
14  GBLMNDDLVKBJTR-UHFFFAOYSA-N    L4    -8.8    -8.0    -8.0
15  JSMFOXIVOLGYRG-UHFFFAOYSA-N    L4    -8.8    -8.1    -8.1

